,birth year,locPoint
49,1994.0,POINT (-73.98848395 40.74901271)
167,1977.0,POINT (-73.98848395 40.74901271)
682,1972.0,POINT (-73.98848395 40.74901271)
741,1979.0,POINT (-73.98848395 40.74901271)
923,1985.0,POINT (-73.98848395 40.74901271)
1114,1958.0,POINT (-73.98848395 40.74901271)
1264,1979.0,POINT (-73.98848395 40.74901271)
1681,1960.0,POINT (-73.98848395 40.74901271)
44,1958.0,POINT (-73.98205027 40.73587678)
398,1970.0,POINT (-73.98205027 40.73587678)
536,1990.0,POINT (-73.98205027 40.73587678)
549,1989.0,POINT (-73.98205027 40.73587678)
916,1991.0,POINT (-73.98205027 40.73587678)
1238,1982.0,POINT (-73.98205027 40.73587678)
1261,1983.0,POINT (-73.98205027 40.73587678)
1531,1988.0,POINT (-73.98205027 40.73587678)
1693,1961.0,POINT (-73.98205027 40.73587678)
1758,1954.0,POINT (-73.98205027 40.73587678)
45,1985.0,POINT (-73.97809472 40.736502)
1214,1985.0,POINT (-73.97809472 40.736502)
1316,1994.0,POINT (-73.97809472 40.736502)
1328,1983.0,POINT (-73.97809472 40.736502)
1341,1982.0,POINT (-73.97809472 40.736502)
1408,1964.0,POINT (-73.97809472 40.736502)
46,1981.0,POINT (-73.98185424 40.72453734)
93,1983.0,POINT (-73.98185424 40.72453734)
544,1992.0,POINT (-73.98185424 40.72453734)
659,1987.0,POINT (-73.98185424 40.72453734)
934,1983.0,POINT (-73.98185424 40.72453734)
947,1985.0,POINT (-73.98185424 40.72453734)
951,1954.0,POINT (-73.98185424 40.72453734)
1049,1983.0,POINT (-73.98185424 40.72453734)
1050,1981.0,POINT (-73.98185424 40.72453734)
1074,1990.0,POINT (-73.98185424 40.72453734)
1181,1980.0,POINT (-73.98185424 40.72453734)
1399,1982.0,POINT (-73.98185424 40.72453734)
1454,1976.0,POINT (-73.98185424 40.72453734)
1789,1991.0,POINT (-73.98185424 40.72453734)
1816,1988.0,POINT (-73.98185424 40.72453734)
1948,1988.0,POINT (-73.98185424 40.72453734)
47,1986.0,POINT (-74.00026394 40.73224119)
4,1952.0,POINT (-73.97634151 40.76590936)
48,1956.0,POINT (-73.97634151 40.76590936)
336,1963.0,POINT (-73.97634151 40.76590936)
345,1963.0,POINT (-73.97634151 40.76590936)
913,1975.0,POINT (-73.97634151 40.76590936)
1251,1961.0,POINT (-73.97634151 40.76590936)
1432,1958.0,POINT (-73.97634151 40.76590936)
1583,1987.0,POINT (-73.97634151 40.76590936)
1956,1981.0,POINT (-73.97634151 40.76590936)
43,1973.0,POINT (-73.98848395 40.74901271)
49,1994.0,POINT (-73.98848395 40.74901271)
167,1977.0,POINT (-73.98848395 40.74901271)
682,1972.0,POINT (-73.98848395 40.74901271)
741,1979.0,POINT (-73.98848395 40.74901271)
923,1985.0,POINT (-73.98848395 40.74901271)
1114,1958.0,POINT (-73.98848395 40.74901271)
1264,1979.0,POINT (-73.98848395 40.74901271)
1681,1960.0,POINT (-73.98848395 40.74901271)
51,1965.0,POINT (-73.99994660999999 40.73781509)
136,1985.0,POINT (-73.99994660999999 40.73781509)
151,1969.0,POINT (-73.99994660999999 40.73781509)
308,1962.0,POINT (-73.99994660999999 40.73781509)
362,1992.0,POINT (-73.99994660999999 40.73781509)
370,1962.0,POINT (-73.99994660999999 40.73781509)
485,1984.0,POINT (-73.99994660999999 40.73781509)
1033,1991.0,POINT (-73.99994660999999 40.73781509)
1288,1965.0,POINT (-73.99994660999999 40.73781509)
1488,1963.0,POINT (-73.99994660999999 40.73781509)
1521,1962.0,POINT (-73.99994660999999 40.73781509)
1526,1963.0,POINT (-73.99994660999999 40.73781509)
1933,1972.0,POINT (-73.99994660999999 40.73781509)
1934,1969.0,POINT (-73.99994660999999 40.73781509)
29,1989.0,POINT (-74.01575600000001 40.711512)
52,1988.0,POINT (-74.01575600000001 40.711512)
118,1983.0,POINT (-74.01575600000001 40.711512)
182,1961.0,POINT (-74.01575600000001 40.711512)
580,1981.0,POINT (-74.01575600000001 40.711512)
582,1984.0,POINT (-74.01575600000001 40.711512)
1306,1982.0,POINT (-74.01575600000001 40.711512)
1439,1977.0,POINT (-74.01575600000001 40.711512)
1501,1959.0,POINT (-74.01575600000001 40.711512)
1576,1951.0,POINT (-74.01575600000001 40.711512)
1998,1979.0,POINT (-74.01575600000001 40.711512)
53,1982.0,POINT (-73.98783413 40.72467721)
56,1986.0,POINT (-73.98783413 40.72467721)
342,1976.0,POINT (-73.98783413 40.72467721)
455,1961.0,POINT (-73.98783413 40.72467721)
915,1991.0,POINT (-73.98783413 40.72467721)
932,1983.0,POINT (-73.98783413 40.72467721)
1019,1973.0,POINT (-73.98783413 40.72467721)
1192,1988.0,POINT (-73.98783413 40.72467721)
1372,1967.0,POINT (-73.98783413 40.72467721)
1384,1970.0,POINT (-73.98783413 40.72467721)
1586,1971.0,POINT (-73.98783413 40.72467721)
1718,1953.0,POINT (-73.98783413 40.72467721)
1863,1976.0,POINT (-73.98783413 40.72467721)
18,1972.0,POINT (-73.98889957 40.73223272)
54,1994.0,POINT (-73.98889957 40.73223272)
55,1994.0,POINT (-73.98889957 40.73223272)
85,1981.0,POINT (-73.98889957 40.73223272)
88,1971.0,POINT (-73.98889957 40.73223272)
131,1988.0,POINT (-73.98889957 40.73223272)
313,1956.0,POINT (-73.98889957 40.73223272)
480,1988.0,POINT (-73.98889957 40.73223272)
573,1988.0,POINT (-73.98889957 40.73223272)
656,1970.0,POINT (-73.98889957 40.73223272)
664,1973.0,POINT (-73.98889957 40.73223272)
744,1979.0,POINT (-73.98889957 40.73223272)
1030,1995.0,POINT (-73.98889957 40.73223272)
1082,1993.0,POINT (-73.98889957 40.73223272)
1337,1982.0,POINT (-73.98889957 40.73223272)
18,1972.0,POINT (-73.98889957 40.73223272)
54,1994.0,POINT (-73.98889957 40.73223272)
55,1994.0,POINT (-73.98889957 40.73223272)
85,1981.0,POINT (-73.98889957 40.73223272)
88,1971.0,POINT (-73.98889957 40.73223272)
131,1988.0,POINT (-73.98889957 40.73223272)
313,1956.0,POINT (-73.98889957 40.73223272)
480,1988.0,POINT (-73.98889957 40.73223272)
573,1988.0,POINT (-73.98889957 40.73223272)
656,1970.0,POINT (-73.98889957 40.73223272)
664,1973.0,POINT (-73.98889957 40.73223272)
744,1979.0,POINT (-73.98889957 40.73223272)
1030,1995.0,POINT (-73.98889957 40.73223272)
1082,1993.0,POINT (-73.98889957 40.73223272)
1337,1982.0,POINT (-73.98889957 40.73223272)
53,1982.0,POINT (-73.98783413 40.72467721)
56,1986.0,POINT (-73.98783413 40.72467721)
342,1976.0,POINT (-73.98783413 40.72467721)
455,1961.0,POINT (-73.98783413 40.72467721)
915,1991.0,POINT (-73.98783413 40.72467721)
932,1983.0,POINT (-73.98783413 40.72467721)
1019,1973.0,POINT (-73.98783413 40.72467721)
1192,1988.0,POINT (-73.98783413 40.72467721)
1372,1967.0,POINT (-73.98783413 40.72467721)
1384,1970.0,POINT (-73.98783413 40.72467721)
1586,1971.0,POINT (-73.98783413 40.72467721)
1718,1953.0,POINT (-73.98783413 40.72467721)
1863,1976.0,POINT (-73.98783413 40.72467721)
58,1975.0,POINT (-73.98142006 40.72740794)
59,1982.0,POINT (-73.98142006 40.72740794)
101,1982.0,POINT (-73.98142006 40.72740794)
104,1977.0,POINT (-73.98142006 40.72740794)
180,1966.0,POINT (-73.98142006 40.72740794)
225,1986.0,POINT (-73.98142006 40.72740794)
631,1990.0,POINT (-73.98142006 40.72740794)
708,1986.0,POINT (-73.98142006 40.72740794)
1236,1990.0,POINT (-73.98142006 40.72740794)
1813,1968.0,POINT (-73.98142006 40.72740794)
1928,1957.0,POINT (-73.98142006 40.72740794)
58,1975.0,POINT (-73.98142006 40.72740794)
59,1982.0,POINT (-73.98142006 40.72740794)
101,1982.0,POINT (-73.98142006 40.72740794)
104,1977.0,POINT (-73.98142006 40.72740794)
180,1966.0,POINT (-73.98142006 40.72740794)
225,1986.0,POINT (-73.98142006 40.72740794)
631,1990.0,POINT (-73.98142006 40.72740794)
708,1986.0,POINT (-73.98142006 40.72740794)
1236,1990.0,POINT (-73.98142006 40.72740794)
1813,1968.0,POINT (-73.98142006 40.72740794)
1928,1957.0,POINT (-73.98142006 40.72740794)
60,1959.0,POINT (-73.98165557 40.73221853)
385,1987.0,POINT (-73.98165557 40.73221853)
386,1987.0,POINT (-73.98165557 40.73221853)
437,1989.0,POINT (-73.98165557 40.73221853)
629,1990.0,POINT (-73.98165557 40.73221853)
789,1992.0,POINT (-73.98165557 40.73221853)
886,1991.0,POINT (-73.98165557 40.73221853)
887,1966.0,POINT (-73.98165557 40.73221853)
960,1986.0,POINT (-73.98165557 40.73221853)
994,1985.0,POINT (-73.98165557 40.73221853)
997,1986.0,POINT (-73.98165557 40.73221853)
1213,1970.0,POINT (-73.98165557 40.73221853)
1273,1989.0,POINT (-73.98165557 40.73221853)
1366,1990.0,POINT (-73.98165557 40.73221853)
1383,1983.0,POINT (-73.98165557 40.73221853)
1535,1944.0,POINT (-73.98165557 40.73221853)
1660,1986.0,POINT (-73.98165557 40.73221853)
1799,1990.0,POINT (-73.98165557 40.73221853)
1843,1985.0,POINT (-73.98165557 40.73221853)
1845,1985.0,POINT (-73.98165557 40.73221853)
1892,1970.0,POINT (-73.98165557 40.73221853)
15,1970.0,POINT (-73.993915 40.746647)
62,1989.0,POINT (-73.993915 40.746647)
246,1957.0,POINT (-73.993915 40.746647)
679,1963.0,POINT (-73.993915 40.746647)
1343,1971.0,POINT (-73.993915 40.746647)
1349,1982.0,POINT (-73.993915 40.746647)
63,1974.0,POINT (-73.99810230999999 40.72917025)
333,1988.0,POINT (-73.99810230999999 40.72917025)
632,1988.0,POINT (-73.99810230999999 40.72917025)
984,1970.0,POINT (-73.99810230999999 40.72917025)
1073,1967.0,POINT (-73.99810230999999 40.72917025)
1131,1965.0,POINT (-73.99810230999999 40.72917025)
1495,1988.0,POINT (-73.99810230999999 40.72917025)
1545,1975.0,POINT (-73.99810230999999 40.72917025)
1853,1989.0,POINT (-73.99810230999999 40.72917025)
1904,1970.0,POINT (-73.99810230999999 40.72917025)
64,1996.0,POINT (-74.00166999999999 40.707873)
1380,1972.0,POINT (-74.00166999999999 40.707873)
1715,1963.0,POINT (-74.00166999999999 40.707873)
65,1966.0,POINT (-74.00711384 40.73291553)
91,1969.0,POINT (-74.00711384 40.73291553)
584,1994.0,POINT (-74.00711384 40.73291553)
662,1992.0,POINT (-74.00711384 40.73291553)
693,1977.0,POINT (-74.00711384 40.73291553)
837,1985.0,POINT (-74.00711384 40.73291553)
1001,1966.0,POINT (-74.00711384 40.73291553)
