,birth year,locPoint
725,1976.0,POINT (-73.96885458 40.68940747)
1608,1971.0,POINT (-73.96885458 40.68940747)
620,1983.0,POINT (-73.976682 40.68691865)
1514,1984.0,POINT (-73.976682 40.68691865)
401,1985.0,POINT (-73.96264403000001 40.71260486)
597,1987.0,POINT (-73.96264403000001 40.71260486)
622,1991.0,POINT (-73.96264403000001 40.71260486)
1077,1984.0,POINT (-73.96264403000001 40.71260486)
1315,1966.0,POINT (-73.96264403000001 40.71260486)
1452,1981.0,POINT (-73.96264403000001 40.71260486)
121,1981.0,POINT (-73.95852515 40.7190095)
297,1968.0,POINT (-73.95852515 40.7190095)
625,1981.0,POINT (-73.95852515 40.7190095)
673,1980.0,POINT (-73.95852515 40.7190095)
844,1980.0,POINT (-73.95852515 40.7190095)
1127,1977.0,POINT (-73.95852515 40.7190095)
628,1984.0,POINT (-73.960876 40.710451)
846,1970.0,POINT (-73.960876 40.710451)
1626,1985.0,POINT (-73.960876 40.710451)
245,1966.0,POINT (-73.95234386 40.71413311)
635,1985.0,POINT (-73.95234386 40.71413311)
972,1983.0,POINT (-73.95234386 40.71413311)
1042,1988.0,POINT (-73.95234386 40.71413311)
1146,1971.0,POINT (-73.95234386 40.71413311)
57,1993.0,POINT (-73.94882 40.71764)
639,1979.0,POINT (-73.94882 40.71764)
819,1980.0,POINT (-73.94882 40.71764)
902,1984.0,POINT (-73.94882 40.71764)
1020,1988.0,POINT (-73.94882 40.71764)
644,1982.0,POINT (-73.94308000000001 40.72325)
1530,1976.0,POINT (-73.94308000000001 40.72325)
1659,1968.0,POINT (-73.94308000000001 40.72325)
648,1978.0,POINT (-73.982578 40.70224)
670,1976.0,POINT (-73.97265183 40.68753406)
73,1992.0,POINT (-73.98940236 40.70255088)
672,1982.0,POINT (-73.98940236 40.70255088)
1984,1965.0,POINT (-73.98940236 40.70255088)
121,1981.0,POINT (-73.95852515 40.7190095)
297,1968.0,POINT (-73.95852515 40.7190095)
625,1981.0,POINT (-73.95852515 40.7190095)
673,1980.0,POINT (-73.95852515 40.7190095)
844,1980.0,POINT (-73.95852515 40.7190095)
1127,1977.0,POINT (-73.95852515 40.7190095)
681,1982.0,POINT (-73.95484712 40.72079821)
1015,1985.0,POINT (-73.95484712 40.72079821)
1047,1978.0,POINT (-73.95484712 40.72079821)
694,1982.0,POINT (-73.94100005 40.71247661)
698,1977.0,POINT (-73.9614583 40.68223166)
1812,1965.0,POINT (-73.9614583 40.68223166)
467,1979.0,POINT (-73.96319799999999 40.716887)
701,1987.0,POINT (-73.96319799999999 40.716887)
733,1985.0,POINT (-73.96319799999999 40.716887)
893,1983.0,POINT (-73.96319799999999 40.716887)
946,1985.0,POINT (-73.96319799999999 40.716887)
1664,1983.0,POINT (-73.96319799999999 40.716887)
1730,1979.0,POINT (-73.96319799999999 40.716887)
120,1983.0,POINT (-73.96525063 40.71044554)
